Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,11.9,1530.8,0,0,3,30,4,0,0,213.967,213.967,213.967,44.6276,44.6276,44.6276, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,4.5,1522,0,0,3,46,4,0,0,216.717,216.717,216.717,46.3017,46.3017,46.3017, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,1061.3,72.6,0,0,2,36,4,0,0,103.278,103.278,103.278,8.9917,8.9917,8.9917, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,1057.5,68,0,0,2,24,3,0,0,103.667,103.667,103.667,9.65384,9.65384,9.65384, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,10.5984,6.08197,0,0,3,88,6,0,0,235.682,235.682,235.682,31.9488,31.9488,31.9488, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,540,1564.5,1,0,1,325,11,0,0,105.954,105.954,105.954,40.7172,40.7172,40.7172, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,78.5,1532.5,1,0,1,338,11,0,0,122.527,122.527,122.527,48.0791,48.0791,48.0791, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,999.5,1528.5,1,0,1,292,10,0,0,122.894,122.894,122.894,48.1813,48.1813,48.1813, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,3,1322,0,0,1,21,3,0,0,67.9048,67.9048,67.9048,7.77464,7.77464,7.77464, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,305.5,1268,1,0,1,16,3,0,0,26.125,26.125,26.125,6.57758,6.57758,6.57758, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,3,1147,0,0,1,22,3,0,0,62.5909,62.5909,62.5909,9.39729,9.39729,9.39729, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,766.8,1090.9,1,0,1,46,4,0,0,79.3913,79.3913,79.3913,42.7719,42.7719,42.7719, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 0,104,900,1,0,1,21,3,0,0,23.9048,23.9048,23.9048,6.97538,6.97538,6.97538, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,548.5,830.5,1,0,1,311,11,0,0,102.135,102.135,102.135,36.9865,36.9865,36.9865, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,31.2,824.6,1,0,1,238,9,0,0,92.416,92.416,92.416,38.8207,38.8207,38.8207, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,1029.5,824,1,0,1,247,10,0,0,119.51,119.51,119.51,37.6801,37.6801,37.6801, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,1006.33,63.9634,1,0,1,371,11,0,0,124.377,124.377,124.377,47.234,47.234,47.234, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,36.75,48.75,1,0,1,297,10,0,0,128.434,128.434,128.434,54.4245,54.4245,54.4245, "2019-04-14 [1:40:47 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic4.jpg", 1,530.6,35.2,1,0,1,319,10,0,0,101.956,101.956,101.956,38.0353,38.0353,38.0353, "2019-04-14 [1:40:47 PM]: no comment"
